stock,total_trades,profit_count,loss_count,win_rate,top_profit_ratios,top_loss_ratios,代號,股票名稱
1909.TW,15,4,11,26.666666666666668,"3.57%, 1.72%, 0.58%","-8.93%, -8.81%, -7.50%",1909.TW,榮成
2002.TW,13,4,9,30.76923076923077,"7.33%, 6.53%, 4.28%","-8.22%, -6.04%, -5.74%",2002.TW,中鋼
2006.TW,14,6,8,42.857142857142854,"14.03%, 13.86%, 10.00%","-18.57%, -6.88%, -6.19%",2006.TW,東和鋼鐵
2007.TW,12,3,9,25.0,"18.18%, 15.69%, 1.58%","-11.98%, -9.77%, -7.95%",2007.TW,燁興
2008.TW,12,8,4,66.66666666666666,"32.51%, 12.84%, 12.28%","-2.25%, -1.73%, -1.72%",2008.TW,高興昌
2009.TW,14,6,8,42.857142857142854,"46.67%, 11.99%, 5.03%","-20.55%, -19.92%, -8.70%",2009.TW,第一銅
2010.TW,13,5,8,38.46153846153847,"13.10%, 10.37%, 3.11%","-4.83%, -4.46%, -3.14%",2010.TW,春源
2012.TW,15,7,8,46.666666666666664,"11.91%, 9.53%, 4.40%","-7.59%, -4.18%, -4.07%",2012.TW,春雨
2013.TW,17,6,11,35.294117647058826,"6.44%, 6.25%, 0.95%","-11.95%, -4.85%, -4.61%",2013.TW,中鋼構
2014.TW,9,4,5,44.44444444444444,"14.55%, 8.91%, 4.51%","-12.90%, -8.03%, -5.02%",2014.TW,中鴻
2015.TW,8,5,3,62.5,"24.46%, 5.99%, 4.30%","-8.37%, -3.81%, -1.05%",2015.TW,豐興
2017.TW,15,8,7,53.333333333333336,"47.20%, 7.11%, 3.85%","-11.44%, -9.38%, -7.98%",2017.TW,官田鋼
2020.TW,14,7,7,50.0,"19.43%, 10.34%, 10.34%","-17.78%, -8.82%, -4.66%",2020.TW,美亞
2022.TW,12,3,9,25.0,"15.34%, 5.58%, 4.13%","-13.54%, -10.54%, -8.54%",2022.TW,聚亨
2023.TW,18,8,10,44.44444444444444,"12.80%, 5.81%, 4.53%","-12.64%, -4.88%, -4.15%",2023.TW,燁輝
2024.TW,17,7,10,41.17647058823529,"18.55%, 15.78%, 10.35%","-6.22%, -5.44%, -2.19%",2024.TW,志聯
2025.TW,15,4,11,26.666666666666668,"40.79%, 35.56%, 4.15%","-13.20%, -12.02%, -6.84%",2025.TW,千興
2027.TW,17,9,8,52.94117647058824,"8.12%, 2.66%, 2.61%","-18.36%, -5.63%, -5.30%",2027.TW,大成鋼
2028.TW,11,4,7,36.36363636363637,"15.21%, 8.06%, 4.25%","-7.32%, -7.07%, -6.90%",2028.TW,威致
2029.TW,14,5,9,35.714285714285715,"16.47%, 7.56%, 5.93%","-6.43%, -5.44%, -3.29%",2029.TW,盛餘
2030.TW,14,5,9,35.714285714285715,"15.33%, 5.80%, 3.43%","-6.99%, -6.30%, -5.14%",2030.TW,彰源
2031.TW,15,7,8,46.666666666666664,"16.14%, 13.33%, 10.75%","-11.47%, -11.23%, -6.77%",2031.TW,新光鋼
2032.TW,12,5,7,41.66666666666667,"12.43%, 12.43%, 10.72%","-8.38%, -5.93%, -4.96%",2032.TW,新鋼
2033.TW,17,4,13,23.52941176470588,"27.43%, 25.00%, 22.96%","-10.03%, -8.61%, -8.41%",2033.TW,佳大
2034.TW,13,6,7,46.15384615384615,"7.64%, 6.07%, 0.35%","-3.80%, -3.05%, -1.48%",2034.TW,允強
2038.TW,12,4,8,33.33333333333333,"16.91%, 11.93%, 8.31%","-10.40%, -8.49%, -7.03%",2038.TW,海光
2049.TW,14,6,8,42.857142857142854,"30.69%, 8.67%, 5.88%","-15.16%, -11.45%, -9.06%",2049.TW,上銀
2059.TW,16,5,11,31.25,"114.46%, 40.04%, 5.36%","-12.80%, -10.61%, -10.55%",2059.TW,川湖
2062.TW,11,4,7,36.36363636363637,"36.92%, 11.74%, 9.03%","-5.59%, -4.63%, -4.23%",2062.TW,橋椿
2069.TW,14,5,9,35.714285714285715,"5.87%, 4.91%, 3.14%","-18.69%, -11.45%, -9.65%",2069.TW,運錩
2101.TW,14,5,9,35.714285714285715,"39.73%, 11.24%, 10.82%","-5.76%, -4.40%, -3.76%",2101.TW,南港
2102.TW,13,5,8,38.46153846153847,"13.70%, 6.69%, 4.69%","-16.67%, -5.62%, -4.17%",2102.TW,泰豐
2103.TW,14,5,9,35.714285714285715,"4.57%, 3.63%, 2.22%","-5.81%, -3.59%, -2.81%",2103.TW,台橡
2104.TW,13,3,10,23.076923076923077,"2.25%, 0.29%, 0.25%","-7.53%, -7.52%, -6.71%",2104.TW,國際中橡
2105.TW,18,7,11,38.88888888888889,"14.03%, 9.65%, 5.11%","-7.82%, -6.32%, -5.82%",2105.TW,正新
2106.TW,17,8,9,47.05882352941176,"13.13%, 11.61%, 3.89%","-11.78%, -5.50%, -4.88%",2106.TW,建大
2107.TW,14,8,6,57.14285714285714,"9.79%, 5.42%, 3.89%","-5.00%, -3.24%, -1.12%",2107.TW,厚生
2108.TW,11,5,6,45.45454545454545,"12.89%, 7.17%, 5.60%","-12.79%, -7.09%, -6.47%",2108.TW,南帝
2109.TW,16,4,12,25.0,"34.54%, 2.47%, 0.20%","-5.70%, -4.45%, -3.29%",2109.TW,華豐
2114.TW,14,3,11,21.428571428571427,"7.00%, 2.45%, 0.78%","-4.89%, -2.25%, -1.62%",2114.TW,鑫永銓
2115.TW,12,2,10,16.666666666666664,"6.42%, 2.58%","-6.97%, -4.95%, -4.52%",2115.TW,六暉-KY
2201.TW,15,4,11,26.666666666666668,"48.44%, 10.65%, 7.35%","-9.65%, -8.60%, -4.65%",2201.TW,裕隆
2204.TW,13,6,7,46.15384615384615,"46.70%, 24.76%, 13.91%","-11.98%, -9.67%, -9.48%",2204.TW,中華
2206.TW,17,4,13,23.52941176470588,"81.17%, 27.61%, 11.19%","-12.05%, -7.77%, -4.48%",2206.TW,三陽工業
2207.TW,13,4,9,30.76923076923077,"29.50%, 9.43%, 1.38%","-7.34%, -3.24%, -2.24%",2207.TW,和泰車
2208.TW,15,5,10,33.33333333333333,"8.29%, 3.78%, 1.15%","-8.18%, -5.03%, -4.47%",2208.TW,台船
2211.TW,13,8,5,61.53846153846154,"37.63%, 11.98%, 11.19%","-11.33%, -3.66%, -3.18%",2211.TW,長榮鋼
2227.TW,14,3,11,21.428571428571427,"5.18%, 1.28%, 0.20%","-9.96%, -3.70%, -2.91%",2227.TW,裕日車
2228.TW,14,5,9,35.714285714285715,"16.56%, 16.50%, 13.45%","-7.23%, -5.26%, -4.54%",2228.TW,劍麟
2231.TW,12,3,9,25.0,"11.33%, 9.69%, 5.48%","-9.34%, -8.36%, -8.23%",2231.TW,為升
2233.TW,12,6,6,50.0,"35.12%, 11.91%, 7.84%","-10.00%, -3.26%, -2.23%",2233.TW,宇隆
2236.TW,14,7,7,50.0,"48.75%, 45.78%, 28.75%","-15.39%, -7.27%, -3.38%",2236.TW,百達-KY
2239.TW,10,4,6,40.0,"32.17%, 15.14%, 2.79%","-12.06%, -10.57%, -8.41%",2239.TW,英利-KY
2241.TW,9,4,5,44.44444444444444,"27.52%, 9.05%, 7.98%","-12.79%, -3.81%, -2.97%",2241.TW,艾姆勒
2243.TW,12,5,7,41.66666666666667,"55.16%, 10.48%, 9.70%","-19.28%, -14.70%, -10.46%",2243.TW,宏旭-KY
2247.TW,15,6,9,40.0,"54.83%, 4.64%, 3.05%","-4.21%, -3.37%, -3.06%",2247.TW,汎德永業
2250.TW,15,6,9,40.0,"24.68%, 10.99%, 5.27%","-17.00%, -5.39%, -5.22%",2250.TW,IKKA-KY
2301.TW,13,5,8,38.46153846153847,"119.99%, 5.17%, 1.18%","-10.75%, -7.91%, -5.26%",2301.TW,光寶科
2302.TW,15,5,10,33.33333333333333,"18.80%, 6.57%, 2.83%","-6.51%, -5.97%, -5.61%",2302.TW,麗正
2303.TW,12,6,6,50.0,"14.03%, 8.96%, 3.52%","-12.57%, -4.17%, -4.14%",2303.TW,聯電
2305.TW,13,6,7,46.15384615384615,"42.64%, 28.74%, 11.40%","-8.33%, -6.80%, -5.81%",2305.TW,全友
2308.TW,18,7,11,38.88888888888889,"20.10%, 19.27%, 4.86%","-7.38%, -7.02%, -5.71%",2308.TW,台達電
2312.TW,17,6,11,35.294117647058826,"59.91%, 24.09%, 9.84%","-11.46%, -8.75%, -5.19%",2312.TW,金寶
2313.TW,14,6,8,42.857142857142854,"26.33%, 6.69%, 3.37%","-13.81%, -9.12%, -8.07%",2313.TW,華通
2314.TW,15,2,13,13.333333333333334,"6.76%, 1.90%","-11.33%, -10.89%, -8.13%",2314.TW,台揚
2316.TW,13,7,6,53.84615384615385,"15.65%, 10.61%, 9.41%","-9.87%, -9.59%, -2.79%",2316.TW,楠梓電
2317.TW,11,5,6,45.45454545454545,"93.45%, 8.42%, 7.21%","-3.63%, -2.88%, -2.87%",2317.TW,鴻海
2321.TW,16,5,11,31.25,"13.39%, 6.27%, 5.54%","-17.05%, -12.95%, -10.42%",2321.TW,東訊
2323.TW,15,5,10,33.33333333333333,"48.37%, 10.09%, 3.99%","-9.96%, -9.63%, -6.22%",2323.TW,中環
2324.TW,9,4,5,44.44444444444444,"51.06%, 21.29%, 14.39%","-7.35%, -4.80%, -2.16%",2324.TW,仁寶
2327.TW,12,3,9,25.0,"25.33%, 21.74%, 16.03%","-13.41%, -10.67%, -8.68%",2327.TW,國巨
2328.TW,15,6,9,40.0,"9.50%, 8.30%, 4.68%","-10.68%, -8.75%, -6.15%",2328.TW,廣宇
2329.TW,14,6,8,42.857142857142854,"116.09%, 23.60%, 11.56%","-14.57%, -7.02%, -4.65%",2329.TW,華泰
2330.TW,11,5,6,45.45454545454545,"45.33%, 16.14%, 7.46%","-7.08%, -4.02%, -2.48%",2330.TW,台積電
2331.TW,14,3,11,21.428571428571427,"38.71%, 10.30%, 7.84%","-13.60%, -12.67%, -7.41%",2331.TW,精英
2332.TW,16,7,9,43.75,"13.68%, 6.03%, 4.95%","-16.47%, -11.33%, -9.60%",2332.TW,友訊
2337.TW,17,5,12,29.411764705882355,"5.09%, 1.92%, 1.04%","-9.29%, -9.21%, -6.91%",2337.TW,旺宏
2338.TW,15,2,13,13.333333333333334,"36.66%, 0.38%","-13.09%, -13.06%, -10.16%",2338.TW,光罩
2340.TW,13,2,11,15.384615384615385,"34.12%, 5.87%","-13.96%, -11.00%, -7.25%",2340.TW,台亞
2342.TW,18,4,14,22.22222222222222,"7.26%, 4.88%, 2.99%","-10.50%, -9.81%, -8.35%",2342.TW,茂矽
2344.TW,15,4,11,26.666666666666668,"18.50%, 6.67%, 3.30%","-12.52%, -8.95%, -8.51%",2344.TW,華邦電
2345.TW,12,6,6,50.0,"46.09%, 16.80%, 15.63%","-9.32%, -5.73%, -3.60%",2345.TW,智邦
2347.TW,14,5,9,35.714285714285715,"15.49%, 9.86%, 7.00%","-10.46%, -3.79%, -3.24%",2347.TW,聯強
2348.TW,8,3,5,37.5,"383.96%, 6.92%, 3.06%","-9.18%, -5.40%, -2.75%",2348.TW,海悅
2349.TW,14,7,7,50.0,"78.25%, 2.98%, 1.85%","-14.33%, -9.51%, -4.66%",2349.TW,錸德
2351.TW,16,4,12,25.0,"21.76%, 7.92%, 6.99%","-20.66%, -13.21%, -11.79%",2351.TW,順德
2352.TW,12,4,8,33.33333333333333,"70.80%, 2.80%, 1.96%","-6.30%, -5.50%, -4.84%",2352.TW,佳世達
2353.TW,14,4,10,28.57142857142857,"54.98%, 36.68%, 7.53%","-7.49%, -6.70%, -5.64%",2353.TW,宏碁
2354.TW,13,6,7,46.15384615384615,"21.00%, 6.37%, 6.09%","-6.04%, -5.32%, -5.26%",2354.TW,鴻準
2355.TW,12,6,6,50.0,"18.96%, 12.38%, 5.29%","-13.29%, -6.29%, -5.76%",2355.TW,敬鵬
2356.TW,12,8,4,66.66666666666666,"54.37%, 12.57%, 9.89%","-15.46%, -9.01%, -4.05%",2356.TW,英業達
2357.TW,17,8,9,47.05882352941176,"14.94%, 14.20%, 13.40%","-12.94%, -9.04%, -7.35%",2357.TW,華碩
2358.TW,11,1,10,9.090909090909092,8.40%,"-36.24%, -15.50%, -15.32%",2358.TW,廷鑫
2359.TW,13,6,7,46.15384615384615,"296.89%, 18.28%, 9.33%","-11.98%, -11.59%, -8.89%",2359.TW,所羅門
2360.TW,12,5,7,41.66666666666667,"52.65%, 34.02%, 20.07%","-10.50%, -8.21%, -8.02%",2360.TW,致茂
2362.TW,13,5,8,38.46153846153847,"33.64%, 27.88%, 12.27%","-12.07%, -8.24%, -5.28%",2362.TW,藍天
2363.TW,11,6,5,54.54545454545454,"166.67%, 16.79%, 10.17%","-20.18%, -9.38%, -4.14%",2363.TW,矽統
2364.TW,12,5,7,41.66666666666667,"244.79%, 63.75%, 18.16%","-12.14%, -11.21%, -8.40%",2364.TW,倫飛
2365.TW,15,6,9,40.0,"171.80%, 32.68%, 18.85%","-8.76%, -8.65%, -7.73%",2365.TW,昆盈
2367.TW,14,5,9,35.714285714285715,"25.48%, 22.81%, 19.76%","-22.62%, -7.51%, -7.35%",2367.TW,燿華
2368.TW,18,7,11,38.88888888888889,"55.65%, 8.39%, 6.85%","-16.10%, -11.38%, -9.09%",2368.TW,金像電
2369.TW,13,4,9,30.76923076923077,"17.46%, 6.39%, 2.73%","-14.55%, -13.98%, -9.17%",2369.TW,菱生
2371.TW,16,8,8,50.0,"43.33%, 36.12%, 4.69%","-9.17%, -6.16%, -5.38%",2371.TW,大同
2373.TW,15,3,12,20.0,"1.69%, 0.60%, 0.28%","-3.03%, -2.39%, -1.85%",2373.TW,震旦行
2374.TW,15,8,7,53.333333333333336,"91.42%, 8.09%, 5.36%","-17.99%, -9.77%, -3.38%",2374.TW,佳能
2375.TW,15,5,10,33.33333333333333,"32.77%, 11.96%, 8.28%","-14.84%, -14.13%, -9.71%",2375.TW,凱美
2376.TW,10,6,4,60.0,"152.20%, 13.25%, 9.92%","-16.19%, -5.60%, -3.91%",2376.TW,技嘉
2377.TW,14,6,8,42.857142857142854,"17.51%, 14.74%, 9.55%","-10.17%, -9.47%, -8.89%",2377.TW,微星
2379.TW,14,8,6,57.14285714285714,"21.41%, 17.99%, 10.40%","-7.72%, -6.70%, -6.24%",2379.TW,瑞昱
2380.TW,16,2,14,12.5,"2.44%, 0.79%","-27.43%, -13.20%, -11.78%",2380.TW,虹光
2382.TW,14,5,9,35.714285714285715,"237.01%, 12.71%, 10.80%","-21.37%, -12.85%, -6.89%",2382.TW,廣達
2383.TW,12,4,8,33.33333333333333,"107.07%, 7.60%, 4.86%","-15.92%, -14.91%, -10.45%",2383.TW,台光電
2385.TW,10,4,6,40.0,"62.62%, 22.11%, 15.20%","-6.37%, -5.82%, -4.30%",2385.TW,群光
2387.TW,13,8,5,61.53846153846154,"22.57%, 12.72%, 4.52%","-6.59%, -6.47%, -6.10%",2387.TW,精元
2388.TW,14,8,6,57.14285714285714,"38.54%, 19.64%, 17.35%","-13.98%, -12.55%, -9.88%",2388.TW,威盛
2390.TW,13,3,10,23.076923076923077,"7.67%, 3.52%, 2.43%","-10.28%, -6.17%, -5.60%",2390.TW,云辰
2392.TW,15,6,9,40.0,"43.04%, 9.12%, 7.30%","-10.73%, -7.03%, -5.56%",2392.TW,正崴
2393.TW,13,6,7,46.15384615384615,"41.82%, 24.17%, 7.53%","-5.07%, -4.82%, -2.62%",2393.TW,億光
2395.TW,13,3,10,23.076923076923077,"12.92%, 3.33%, 0.57%","-11.70%, -9.13%, -7.14%",2395.TW,研華
2397.TW,18,7,11,38.88888888888889,"12.20%, 10.72%, 5.64%","-23.07%, -8.22%, -4.32%",2397.TW,友通
2399.TW,15,6,9,40.0,"41.32%, 23.94%, 18.41%","-18.44%, -6.39%, -5.49%",2399.TW,映泰
2401.TW,12,4,8,33.33333333333333,"22.17%, 10.88%, 7.27%","-9.48%, -8.76%, -7.83%",2401.TW,凌陽
2402.TW,13,3,10,23.076923076923077,"118.85%, 24.38%, 15.70%","-9.97%, -9.18%, -7.12%",2402.TW,毅嘉
2404.TW,10,4,6,40.0,"78.73%, 20.13%, 4.04%","-6.30%, -6.21%, -6.02%",2404.TW,漢唐
2405.TW,20,3,17,15.0,"9.74%, 9.45%, 6.46%","-15.37%, -10.86%, -9.93%",2405.TW,輔信
2406.TW,10,2,8,20.0,"34.01%, 2.76%","-12.47%, -7.13%, -6.95%",2406.TW,國碩
2408.TW,15,5,10,33.33333333333333,"6.07%, 3.16%, 2.95%","-12.67%, -6.74%, -6.73%",2408.TW,南亞科
2409.TW,16,5,11,31.25,"12.07%, 4.08%, 3.10%","-8.40%, -7.77%, -7.44%",2409.TW,友達
2412.TW,13,9,4,69.23076923076923,"9.61%, 3.21%, 2.92%","-3.20%, -2.10%, -0.43%",2412.TW,中華電
2413.TW,14,5,9,35.714285714285715,"27.75%, 26.95%, 20.45%","-7.88%, -7.66%, -7.34%",2413.TW,環科
2414.TW,13,6,7,46.15384615384615,"15.52%, 7.05%, 5.34%","-4.19%, -4.02%, -3.80%",2414.TW,精技
2415.TW,15,4,11,26.666666666666668,"29.39%, 3.62%, 3.44%","-10.98%, -8.23%, -5.08%",2415.TW,錩新
2417.TW,11,4,7,36.36363636363637,"71.81%, 25.07%, 7.66%","-11.81%, -10.83%, -6.21%",2417.TW,圓剛
2419.TW,15,6,9,40.0,"44.69%, 23.04%, 10.76%","-16.69%, -16.44%, -8.74%",2419.TW,仲琦
2420.TW,12,9,3,75.0,"21.85%, 12.09%, 11.79%","-4.17%, -3.74%, -1.74%",2420.TW,新巨
2421.TW,14,5,9,35.714285714285715,"199.85%, 10.27%, 9.26%","-9.73%, -9.01%, -7.53%",2421.TW,建準
2423.TW,13,8,5,61.53846153846154,"29.96%, 8.72%, 6.20%","-8.24%, -5.91%, -2.42%",2423.TW,固緯
2424.TW,15,7,8,46.666666666666664,"102.46%, 51.79%, 17.63%","-13.08%, -12.61%, -6.31%",2424.TW,隴華
2425.TW,12,3,9,25.0,"42.17%, 29.18%, 7.71%","-9.44%, -9.35%, -6.32%",2425.TW,承啟
2426.TW,16,6,10,37.5,"19.73%, 4.27%, 2.21%","-10.53%, -10.45%, -9.21%",2426.TW,鼎元
2427.TW,11,6,5,54.54545454545454,"47.14%, 25.93%, 10.38%","-7.16%, -3.95%, -3.80%",2427.TW,三商電
2428.TW,19,8,11,42.10526315789473,"17.70%, 10.88%, 3.96%","-10.76%, -10.44%, -6.81%",2428.TW,興勤
2429.TW,11,3,8,27.27272727272727,"94.63%, 28.84%, 10.41%","-16.33%, -12.47%, -7.96%",2429.TW,銘旺科
2430.TW,16,7,9,43.75,"15.21%, 8.73%, 5.27%","-9.08%, -3.73%, -1.63%",2430.TW,燦坤
2431.TW,13,5,8,38.46153846153847,"24.52%, 7.32%, 3.21%","-17.69%, -5.83%, -5.41%",2431.TW,聯昌
2433.TW,15,9,6,60.0,"9.97%, 3.48%, 1.17%","-2.33%, -1.15%, -0.78%",2433.TW,互盛電
2434.TW,12,5,7,41.66666666666667,"6.33%, 1.91%, 1.39%","-5.81%, -4.76%, -3.83%",2434.TW,統懋
2436.TW,14,2,12,14.285714285714285,"13.21%, 1.41%","-16.93%, -14.43%, -11.53%",2436.TW,偉詮電
2438.TW,12,6,6,50.0,"192.89%, 41.67%, 8.88%","-7.17%, -6.96%, -4.80%",2438.TW,翔耀
2439.TW,12,5,7,41.66666666666667,"20.73%, 15.49%, 8.29%","-5.96%, -5.95%, -5.30%",2439.TW,美律
2440.TW,13,4,9,30.76923076923077,"2.41%, 1.61%, 1.56%","-9.22%, -5.00%, -3.80%",2440.TW,太空梭
2441.TW,16,7,9,43.75,"11.52%, 10.30%, 2.32%","-6.35%, -5.35%, -4.97%",2441.TW,超豐
2442.TW,13,10,3,76.92307692307693,"18.28%, 12.38%, 12.11%","-4.17%, -3.62%, -3.62%",2442.TW,新美齊
2443.TW,11,5,6,45.45454545454545,"49.23%, 16.32%, 1.41%","-5.07%, -5.05%, -4.20%",2443.TW,昶虹
2444.TW,14,5,9,35.714285714285715,"44.58%, 14.23%, 2.99%","-13.28%, -11.27%, -7.58%",2444.TW,兆勁
2449.TW,10,7,3,70.0,"71.31%, 39.91%, 25.76%","-3.32%, -3.19%, -1.05%",2449.TW,京元電子
2450.TW,14,8,6,57.14285714285714,"12.46%, 6.63%, 5.43%","-2.91%, -2.23%, -1.40%",2450.TW,神腦
2451.TW,14,8,6,57.14285714285714,"49.27%, 10.80%, 5.60%","-5.29%, -3.14%, -3.03%",2451.TW,創見
2453.TW,13,3,10,23.076923076923077,"166.00%, 3.32%, 0.74%","-12.87%, -11.20%, -9.17%",2453.TW,凌群
2454.TW,13,7,6,53.84615384615385,"36.14%, 18.01%, 11.68%","-11.68%, -11.62%, -11.26%",2454.TW,聯發科
2455.TW,15,8,7,53.333333333333336,"17.49%, 10.19%, 9.02%","-15.10%, -14.71%, -8.49%",2455.TW,全新
2457.TW,14,3,11,21.428571428571427,"92.91%, 7.27%, 6.23%","-12.00%, -10.82%, -10.69%",2457.TW,飛宏
2458.TW,13,5,8,38.46153846153847,"31.91%, 16.18%, 7.11%","-10.70%, -10.30%, -6.14%",2458.TW,義隆
2459.TW,12,7,5,58.333333333333336,"19.48%, 9.09%, 7.34%","-3.58%, -2.08%, -1.37%",2459.TW,敦吉
2460.TW,15,5,10,33.33333333333333,"20.64%, 10.88%, 6.41%","-10.77%, -10.22%, -8.66%",2460.TW,建通
2461.TW,14,5,9,35.714285714285715,"19.27%, 2.06%, 0.91%","-8.03%, -6.71%, -4.48%",2461.TW,光群雷
2462.TW,16,5,11,31.25,"13.44%, 12.15%, 12.06%","-18.28%, -9.21%, -9.00%",2462.TW,良得電
2464.TW,13,8,5,61.53846153846154,"41.89%, 31.92%, 12.28%","-5.73%, -4.80%, -3.49%",2464.TW,盟立
2465.TW,13,6,7,46.15384615384615,"82.41%, 71.08%, 24.67%","-12.86%, -8.46%, -7.00%",2465.TW,麗臺
2466.TW,13,5,8,38.46153846153847,"6.02%, 4.27%, 3.51%","-8.84%, -5.90%, -5.87%",2466.TW,冠西電
2467.TW,16,5,11,31.25,"172.54%, 19.86%, 10.23%","-17.32%, -14.94%, -10.06%",2467.TW,志聖
2468.TW,15,5,10,33.33333333333333,"49.94%, 28.85%, 27.06%","-9.58%, -8.61%, -6.53%",2468.TW,華經
2471.TW,14,6,8,42.857142857142854,"122.30%, 9.27%, 5.39%","-6.47%, -5.81%, -5.01%",2471.TW,資通
2472.TW,13,6,7,46.15384615384615,"16.82%, 16.52%, 7.92%","-7.19%, -6.67%, -5.89%",2472.TW,立隆電
2474.TW,17,9,8,52.94117647058824,"11.00%, 8.82%, 6.29%","-2.63%, -1.50%, -1.47%",2474.TW,可成
2476.TW,13,5,8,38.46153846153847,"41.81%, 22.09%, 13.55%","-12.76%, -11.69%, -7.76%",2476.TW,鉅祥
2477.TW,16,5,11,31.25,"12.84%, 2.70%, 1.80%","-16.93%, -8.86%, -7.56%",2477.TW,美隆電
2478.TW,14,5,9,35.714285714285715,"10.01%, 2.05%, 1.74%","-7.62%, -7.31%, -6.18%",2478.TW,大毅
2480.TW,12,8,4,66.66666666666666,"51.08%, 7.74%, 6.58%","-12.29%, -4.24%, -0.47%",2480.TW,敦陽科
2481.TW,14,5,9,35.714285714285715,"8.25%, 4.01%, 2.74%","-15.98%, -13.01%, -12.94%",2481.TW,強茂
2482.TW,10,4,6,40.0,"142.34%, 66.77%, 12.62%","-12.73%, -9.65%, -9.32%",2482.TW,連宇
2483.TW,14,4,10,28.57142857142857,"6.86%, 5.49%, 3.75%","-5.38%, -4.75%, -4.40%",2483.TW,百容
2484.TW,13,5,8,38.46153846153847,"4.59%, 2.43%, 0.83%","-4.18%, -3.66%, -3.57%",2484.TW,希華
2485.TW,15,6,9,40.0,"6.13%, 2.91%, 1.67%","-7.43%, -5.33%, -4.08%",2485.TW,兆赫
2486.TW,12,5,7,41.66666666666667,"93.20%, 48.48%, 20.00%","-17.62%, -16.77%, -16.65%",2486.TW,一詮
2488.TW,8,6,2,75.0,"19.99%, 16.69%, 4.58%","-10.08%, -8.49%",2488.TW,漢平
2489.TW,11,4,7,36.36363636363637,"32.39%, 29.33%, 17.08%","-11.78%, -5.99%, -5.74%",2489.TW,瑞軒
2491.TW,13,3,10,23.076923076923077,"26.40%, 6.05%, 1.43%","-15.25%, -8.57%, -7.43%",2491.TW,吉祥全
2492.TW,15,4,11,26.666666666666668,"16.11%, 8.64%, 4.08%","-15.90%, -13.67%, -7.69%",2492.TW,華新科
2493.TW,10,8,2,80.0,"30.00%, 20.40%, 20.21%","-4.46%, -1.13%",2493.TW,揚博
2495.TW,14,8,6,57.14285714285714,"30.38%, 26.58%, 13.47%","-12.77%, -11.70%, -7.55%",2495.TW,普安
2496.TW,13,5,8,38.46153846153847,"20.57%, 16.28%, 10.38%","-3.62%, -3.05%, -2.73%",2496.TW,卓越
2497.TW,15,3,12,20.0,"21.71%, 5.74%, 1.81%","-14.92%, -12.45%, -7.27%",2497.TW,怡利電
2498.TW,16,6,10,37.5,"9.00%, 6.66%, 4.91%","-10.06%, -9.81%, -9.42%",2498.TW,宏達電
2501.TW,12,4,8,33.33333333333333,"59.90%, 19.16%, 5.57%","-11.70%, -9.06%, -4.60%",2501.TW,國建
2504.TW,12,9,3,75.0,"61.72%, 10.52%, 10.32%","-2.91%, -1.68%, -1.15%",2504.TW,國產
2505.TW,14,4,10,28.57142857142857,"24.12%, 24.03%, 2.44%","-12.01%, -6.07%, -4.65%",2505.TW,國揚
2506.TW,16,6,10,37.5,"12.56%, 8.60%, 5.56%","-10.66%, -9.02%, -8.66%",2506.TW,太設
2509.TW,10,5,5,50.0,"21.16%, 15.52%, 1.98%","-6.20%, -3.19%, -3.14%",2509.TW,全坤建
2511.TW,13,5,8,38.46153846153847,"13.21%, 6.67%, 3.70%","-8.65%, -4.38%, -3.31%",2511.TW,太子
